CPT_Code,CPT_Label
81298,"MSH6 (mutS homolog 6 [E. coli]) (eg, hereditary non-polyposis colorectal cancer, Lynch syndrome) gene analysis; full sequence analysis"
21431,Closed treatment of craniofacial separation (LeFort III type) using interdental wire fixation of denture or splint
64718,Neuroplasty and/or transposition; ulnar nerve at elbow
1029725,"Insertion or replacement of a permanently implantable aortic counterpulsation ventricular assist system, endovascular approach, and programming of sensing and therapeutic parameters"
82480,Cholinesterase; serum
27823,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when performed, medial and/or lateral malleolus; with fixation of posterior lip"
67108,"Repair of retinal detachment; with vitrectomy, any method, including, when performed, air or gas tamponade, focal endolaser photocoagulation, cryotherapy, drainage of subretinal fluid, scleral buckling, and/or removal of lens by same technique"
57555,"Excision of cervical stump, vaginal approach; with anterior and/or posterior repair"
3476F,"Disease prognosis for rheumatoid arthritis assessed, good prognosis documented (RA)"
81220,"CFTR (cystic fibrosis transmembrane conductance regulator) (eg, cystic fibrosis) gene analysis; common variants (eg, ACMG/ACOG guidelines)"
23065,"Biopsy, soft tissue of shoulder area; superficial"
4155F,Hepatitis A vaccine series previously received (HEP-C)
41100,Biopsy of tongue; anterior two-thirds
29891,"Arthroscopy, ankle, surgical, excision of osteochondral defect of talus and/or tibia, including drilling of the defect"
00926,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal"
43870,"Closure of gastrostomy, surgical"
1010845,Therapeutic radiology treatment planning
4165F,3-dimensional conformal radiotherapy (3D-CRT) or intensity modulated radiation therapy (IMRT) received (PRCA)
87088,"Culture, bacterial; with isolation and presumptive identification of each isolate, urine"
1014062,Excision or curettage of bone cyst or benign tumor of proximal humerus
1009323,Cerebrospinal Fluid (CSF) Shunt Procedures
22808,"Arthrodesis, anterior, for spinal deformity, with or without cast; 2 to 3 vertebral segments"
1019043,"In Vivo (eg, Transcutaneous) Laboratory Procedures"
67820,"Correction of trichiasis; epilation, by forceps only"
27418,"Anterior tibial tubercleplasty (eg, Maquet type procedure)"
1011223,Urinalysis Procedures
1007083,Other Procedures on the Dentoalveolar Structures
68115,"Excision of lesion, conjunctiva; over 1 cm"
47765,"Anastomosis, of intrahepatic ducts and gastrointestinal tract"
1007755,Repair of high imperforate anus with rectourethral or rectovaginal fistula
21049,"Excision of benign tumor or cyst of maxilla; requiring extra-oral osteotomy and partial maxillectomy (eg, locally aggressive or destructive lesion[s])"
82800,"Gases, blood, pH only"
44320,Colostomy or skin level cecostomy
1020179,"Radical resection of tumor (eg, sarcoma), soft tissue of back or flank"
82380,Carotene
54430,"Corpora cavernosa-corpus spongiosum shunt (priapism operation), unilateral or bilateral"
