,NDC,ingredient_code,rxnrom
0,68462041438,,
1,11523716001,28889,206805
2,65862042001,10180,198335
3,51672201602,7299,204602
4,64679092101,2194,309097
5,00591555305,3640,1650143
6,59746045730,32937,1738483
7,62011001902,1191,308416
8,65862074230,321064,349401
9,65162099308,4083,2110780
10,57664042183,32937,1738483
11,00378406705,,
12,31722054305,,
13,66993041864,17128,757968
14,68001022400,6472,197904
15,67857080330,,
16,36000012111,,
17,49348046030,,
18,00781602346,21212,309322
19,00054002025,42351,197892
20,00378210001,6468,978006
21,62756044018,135447,997229
22,96295011852,,
23,66993089715,1514,848180
24,68382079101,281,197311
25,65862052305,25480,310433
26,42799040301,11413,198352
27,00472125594,5640,197803
28,94046000105,,
29,00904555361,,
30,13811064701,6676,995666
31,00007323011,,
32,51672208808,20610,1014673
33,67877016930,26225,198052
34,10135015010,1191,212033
35,00591223015,,
36,00591079501,3361,991086
37,69452010532,88249,200224
38,00053813102,4257,1719228
39,49702023113,190521,1546894
40,00008122230,734064,790267
41,68180036109,8703,477560
42,10019001663,,
43,42865010002,,
44,69238149105,1808,197419
45,68084081621,6901,1091170
46,60432060804,8745,992432
47,08496303501,,
48,00093107576,19552,309080
49,65162090203,89013,349547
50,45963041806,35829,616749
51,43386091710,8591,1801294
52,60505038001,35636,199387
53,00085151903,37776,261289
54,62011018001,20610,1014673
55,41415000976,,
56,00677159701,,
57,00069311019,18631,211307
58,10158005306,,
59,00781150610,1202,197381
60,00603243321,1424,885219
61,00395009016,,
62,00904201380,1191,198467
63,38779193004,,
64,55111023190,42463,904475
65,00527123101,8691,96304
66,43598021040,9793,208185
67,11917007933,,
68,62037083920,,
69,52747051501,,
70,68180018202,2177,105171
71,68462019050,7258,198014
72,38779018905,,
73,43547030203,89013,602964
74,24385059471,7407,314119
75,00517232510,24909,1741271
76,00121481105,5489,992668
77,68645014059,4278,310273
78,68094075259,3407,393245
79,11917015910,,
80,49348022937,5640,197803
81,24208060203,19737,1375922
82,50383041906,21090,309291
83,00781106401,42347,993687
84,00591048801,,
85,00409793003,4850,1795477
86,50428367404,,
87,58406045504,214555,809159
88,00093330516,4124,753536
89,60687012801,69749,349199
90,27808011401,161,856987
91,43386035201,161,856992
92,13811053530,,
93,55150012150,37617,1659149
94,11917005097,,
95,61269021090,,
96,00574705050,1596,198509
97,79854020080,,
98,62756044605,2101,197446
99,00121077216,161,856940
100,46122006765,6750,637121
101,50265029960,,
102,10782020160,,
103,00591322001,161,993943
104,49348094323,,
105,64380078706,1827,866111
106,16103034803,3498,1049909
107,00363070008,1399,308668
108,76385011150,20352,200031
109,43386035610,161,857002
110,36800047962,3498,1049630
111,25021040266,5224,1361615
112,08470355001,,
113,49230064331,214342,1099808
114,30768003268,,
115,36000018398,,
116,00085113201,435,746763
117,53885052401,,
118,00603316230,4511,310410
119,31722053405,6845,197944
120,10572081005,,
121,00378385693,,
122,65862098601,8591,312529
123,42632041009,,
124,00093672373,435,1437702
125,00006027731,593411,665036
126,50580072104,20610,1020021
127,37205059471,161,198440
128,00054027223,194000,200328
129,75834011250,7623,198050
130,38396070693,,
131,00603321422,,
132,68382002310,1202,197381
133,00178085890,,
134,00450025708,,
135,59762018202,,
136,64980030550,9873,630196
137,47781063101,6901,1091225
138,63323082001,,
139,00525041030,,
140,00363064810,8163,1087047
141,50428001170,,
142,69315030630,7597,646456
143,51660020030,341248,349556
144,58657046001,6832,992184
145,00093319501,6142,197856
146,42192032090,,
147,00378001891,6918,866924
148,00536340401,7407,314119
149,63304043501,,
150,52569013397,,
151,43386014001,6883,996824
152,10702000750,21949,828348
153,64679073503,6918,866436
154,45802006003,1291,1648110
155,00186109205,6918,866414
156,68462022201,42351,197893
157,57664015513,7804,1049221
158,16714080201,725,541878
159,68180095604,2590,861495
160,59762018103,,
161,31722070290,52175,979480
162,63304019190,734064,790288
163,00761012124,,
164,00006057582,593411,861821
165,00781518001,10582,966220
166,00003633517,5552,213282
167,31722034001,7258,198013
168,42799080601,6069,311207
169,16714002310,8787,856519
170,00603422516,52175,979492
171,45802045384,60223,313852
172,13517011101,8134,199167
173,33342015715,140587,205323
174,70074056643,,
175,49884083601,,
176,00168002135,1291,308512
177,00074024501,,
178,50428109520,,
179,16252050750,,
180,70710113803,4450,197698
181,49022037227,,
182,51672528107,3255,1376340
183,00591040801,29046,314077
184,00363054309,8163,1046751
185,00003196801,59763,153652
186,58204000400,,
187,17478071610,14845,308345
188,70074062091,,
189,00363033016,161,307668
190,00087510480,,
191,50428277431,,
192,50428037065,,
193,49035045415,4910,259195
194,51862006305,3322,197591
195,16714085401,6918,866412
196,08222093356,,
197,00603321328,,
198,52747048090,,
199,00093735556,25025,310346
200,11822575620,,
201,56151107701,,
202,00536123201,1191,198467
203,25021011020,2189,1665107
204,13668015830,73494,205305
205,68462035601,10438,348472
206,08290306414,,
207,43547034506,114477,807832
208,49348074439,612,237870
209,08290203071,,
210,68645051054,5487,310798
211,42806033901,725,541878
212,00067032871,,
213,60432003732,6218,391937
214,00603023516,19478,308761
215,38341010677,1399,892798
216,13668000805,39993,854873
217,08290309589,,
218,42423027101,797541,797544
219,67877021810,6809,861010
220,68180044603,51272,616487
221,59196002901,,
222,51079029966,2599,884173
223,00955171016,,
224,16714074302,28031,311204
225,16729005054,37776,317160
226,72511076002,1665684,1665900
227,71093012004,25480,310430
228,50102023313,31994,1994764
229,00008104105,35302,351989
230,25021011387,4450,1721314
231,69315011710,4603,313988
232,62037059805,3443,831255
233,25021014220,733,1659592
234,69315021001,6832,992150
235,58394063703,4249,1666317
236,87701055451,,
237,31722053812,114477,311290
238,00378612001,3443,830872
239,68220013104,,
240,64679073509,6918,866436
241,54629061090,,
242,42571025001,2582,309329
243,00212185551,,
244,50474057009,1739745,1739778
245,68001033600,29046,205326
246,59779027408,1191,318272
247,53885039601,,
248,00904672580,36387,312935
249,53885013610,,
250,00013265302,61148,762875
251,40986001862,,
252,00363098200,6932,992816
253,55111025090,37801,313222
254,00603153458,,
255,76385013301,7226,198006
256,00338080304,4850,615107
257,37864000053,,
258,29300022652,6922,314106
259,13107010901,3423,897710
260,00078062751,141704,1310144
261,00472176494,5640,197803
262,72578000801,6922,311681
263,55466010711,10582,966401
264,00363059608,,
265,68382000905,28439,198428
266,00299383528,,
267,11917011815,,
268,59707022201,,
269,61748001401,4110,995607
270,60505357901,,
271,62037056005,8591,312504
272,69235031050,3640,1649988
273,00031224612,3289,1357553
274,50580025924,,
275,08627006021,,
276,55111057503,115264,904932
277,00904580880,,
278,00781203701,2597,857301
279,00496088230,6387,1422103
280,64679027301,28439,850087
281,00054355663,6813,864769
282,00536311337,7407,311975
283,00363018422,1897,308915
284,68084005501,3443,830801
285,51927288000,8091,204754
286,47335017923,10390,199592
287,54436002504,6851,1441424
288,13551090101,,
289,64679015502,,
290,00310028239,51272,721793
291,68382033901,72302,312846
292,11673064926,28889,692783
293,54868002100,,
294,37205027778,,
295,00603516532,8134,198086
296,59148001035,89013,352309
297,00093003905,,
298,40985027175,,
299,16252056960,,
300,43478024120,,
301,50458060701,679314,1650972
302,58160089641,1657128,2177398
303,33342005615,33738,312441
304,70710122701,704,856845
305,11917017183,,
306,69315030615,7597,646456
307,70074064135,,
308,50228010701,6809,861004
309,00363089688,7407,198030
310,08290306515,,
311,00078049958,,
312,16103038411,,
313,00378173001,62427,858747
314,13517011001,8134,198086
315,31722032901,11289,855312
316,00955100410,67108,854235
317,29300013010,5487,199903
318,00168027146,108118,151029
319,53100032210,,
320,52544093628,,
321,11917006877,,
322,68645040770,52175,979485
323,00093715598,36567,198211
324,59762227207,,
325,50580044907,161,209459
326,41388021041,1952,1358989
327,00093293205,6876,197958
328,11673066026,5640,197803
329,00603359049,4124,1367691
330,68382018401,4821,861731
331,63323020500,2053495,2053514
332,52536050001,3288,884386
333,98302013931,,
334,37864083701,,
335,00085134107,108118,746813
336,51991062033,84857,199224
