,RXCUI,NAME
0,198683,glucose
1,1801298,potassium chloride
2,310497,glucagon
3,242120,insulin lispro
4,966571,hydralazine
5,1658222,NF
6,992460,promethazine
7,1807628,NF
8,1795610,glucose
9,1659137,piperacillin
10,1740467,ondansetron
11,1795514,glucose
12,1659149,tazobactam
13,727821,NF
14,1437702,albuterol
15,3966,ephedrine
16,995270,hydroxyzine
17,857005,acetaminophen
18,834127,chlorhexidine
19,861482,meperidine
20,894914,morphine
21,1190795,atropine
22,1010033,lidocaine
23,1734683,ertapenem
24,1807513,vancomycin
25,763306,pantoprazole
26,998740,"sennosides, USP"
27,198440,acetaminophen
28,313072,sodium polystyrene sulfonate
29,311034,"insulin, regular, human"
30,835956,amiodarone
31,857002,acetaminophen
32,855633,diclofenac
33,876195,polyethylene glycol 3350
34,1247877,docusate
35,343050,potassium chloride
36,199047,famotidine
37,307764,NF
38,829757,magnesium sulfate
39,349094,budesonide
40,804981,NF
41,1860139,potassium chloride
42,349590,levalbuterol
43,1665046,ceftriaxone
44,854255,enoxaparin
45,1115005,docusate
46,1659260,heparin
47,1735003,fentanyl
48,847630,potassium chloride
49,1729201,NF
50,212033,aspirin
51,854245,enoxaparin
52,1658245,magnesium sulfate
53,318272,aspirin
54,1860241,potassium chloride
55,313782,acetaminophen
56,1807639,sodium chloride
57,1801294,potassium chloride
58,884189,clonidine
59,617310,atorvastatin
60,617311,atorvastatin
61,884173,clonidine
62,539712,nitrofurantoin
63,828350,NF
64,311289,levetiracetam
65,1812194,dexamethasone
66,198039,nitroglycerin
67,905199,hydralazine
68,308135,amlodipine
69,1148399,acetaminophen
70,866924,metoprolol
71,997229,donepezil
72,308416,aspirin
73,309594,vitamin B12
74,312828,risperidone
75,207112,fluconazole
76,849580,sulfamethoxazole
77,212339,cephalexin
78,854236,enoxaparin
79,857004,acetaminophen
80,205924,epoetin alfa
81,992454,promethazine
82,198509,bisacodyl
83,312935,"sennosides, USP"
84,1049221,oxycodone
85,312122,oseltamivir
86,854873,zolpidem
87,1812011,nifedipine
88,197379,atenolol
89,253017,magnesium hydroxide
90,308047,alprazolam
91,1043690,hydrocortisone
92,1014675,cetirizine
93,1668250,calcium gluconate
94,1598320,glucose
95,1860239,potassium chloride
96,312515,potassium chloride
97,106346,mupirocin
98,1795618,glucose
99,484322,insulin detemir
100,200346,cefdinir
101,313988,furosemide
102,897696,hydromorphone
103,1743833,famotidine
104,308762,bismuth subsalicylate
105,978010,loperamide
106,197361,amlodipine
107,725021,rivastigmine
108,866094,buspirone
109,310384,fluoxetine
110,309362,clopidogrel
111,1099569,valproate
112,996609,memantine
113,859419,rosuvastatin
114,283669,pantoprazole
115,245134,fentanyl
116,1049696,oxycodone
117,318209,NF
118,314077,lisinopril
119,200801,furosemide
120,1650142,doxycycline
121,242946,nitroglycerin
122,1795346,glucose
123,1114198,rivaroxaban
124,308753,bisacodyl
125,1052760,magnesium citrate
126,198211,simvastatin
127,824574,benzocaine
128,1148124,NF
129,1364435,apixaban
130,197984,minocycline
131,1664986,aztreonam
132,606730,esomeprazole
133,998483,miconazole
134,630208,albuterol
135,309309,ciprofloxacin
136,312507,potassium chloride
137,1908,calcium gluconate
138,905395,hydralazine
139,198145,prednisone
140,1247759,docusate
141,198116,potassium chloride
142,309092,ceftriaxone
143,104894,ondansetron
144,307746,aluminum hydroxide
145,876193,polyethylene glycol 3350
146,198052,ondansetron
147,309114,cephalexin
148,745679,albuterol
149,1300368,"tetanus toxoid vaccine, inactivated"
150,1659598,ampicillin
151,727759,fentanyl
152,1737566,lidocaine
153,283504,ondansetron
154,204441,famotidine
155,1807633,sodium chloride
156,1724341,hydromorphone
157,312087,ondansetron
158,1728802,NF
159,897653,hydromorphone
160,1668032,NF
161,998211,midazolam
162,1737568,lidocaine
163,1735013,fentanyl
164,1665093,cefepime
165,310604,guaifenesin
166,1807516,vancomycin
167,351136,albuterol
168,727575,furosemide
169,310429,furosemide
170,197901,lorazepam
171,198335,sulfamethoxazole
172,284215,clindamycin
173,1737581,clindamycin
174,1743720,methylprednisolone
175,199119,omeprazole
176,197807,ibuprofen
177,1668238,azithromycin
178,312615,prednisone
179,1649988,doxycycline
180,1665052,cefazolin
181,245314,albuterol
182,1718903,NF
183,724590,sodium chloride
184,1246326,formoterol
185,317174,quetiapine
186,1807630,sodium chloride
187,1807631,sodium chloride
188,309593,vitamin B12
189,6205,Lactobacillus acidophilus
190,311681,metronidazole
191,1659998,anti-inhibitor coagulant complex
192,727517,glucose
193,1807632,sodium chloride
194,238720,tranexamic acid
195,1795607,glucose
196,198437,acetaminophen
197,1665188,lorazepam
198,896771,labetalol
199,1098292,propylene glycol
200,197591,diazepam
201,208464,temazepam
202,1049640,oxycodone
203,197900,lorazepam
204,198241,temazepam
205,1232082,rivaroxaban
206,197454,cephalexin
207,1232086,rivaroxaban
208,312424,vitamin K1
209,198334,sulfamethoxazole
210,239210,NF
211,1664981,aztreonam
212,1807634,sodium chloride
213,1665021,ceftriaxone
214,1795609,glucose
215,391937,lactulose
216,1049906,diphenhydramine
217,1246308,mometasone
218,904475,pravastatin
219,1246311,mometasone
220,251872,pantoprazole
221,353538,isosorbide
222,1046406,amiodarone
223,833532,amiodarone
224,979485,losartan
225,1374747,NF
226,311041,insulin glargine
227,308963,captopril
228,197589,diazepam
229,259255,atorvastatin
230,1049633,diphenhydramine
231,866436,metoprolol
232,349201,valsartan
233,314200,pantoprazole
234,311683,metronidazole
235,995666,meclizine
236,200032,carvedilol
237,1737469,NF
238,859424,rosuvastatin
239,866427,metoprolol
240,197604,digoxin
241,1116635,ticagrelor
242,314234,sucralfate
243,995868,guaifenesin
244,1795254,glucose
245,1246066,cupric oxide
246,309595,vitamin B12
247,1085945,diphenhydramine
248,285127,ziprasidone
249,905225,hydralazine
250,310798,hydrochlorothiazide
251,1658637,heparin
252,1659196,NF
253,1364445,apixaban
254,979492,losartan
255,312086,ondansetron
256,198365,prochlorperazine
257,856999,acetaminophen
258,197877,lidocaine
259,1049621,oxycodone
260,1049683,oxycodone
261,830861,diltiazem
262,308460,azithromycin
263,562508,amoxicillin
264,248656,azithromycin
265,637551,potassium chloride
266,311048,insulin isophane
267,259111,insulin lispro
268,312744,quetiapine
269,866516,metoprolol
270,1650143,doxycycline
271,284400,pantoprazole
272,891453,NF
273,197418,bumetanide
274,1659445,hydrocortisone
275,824194,amoxicillin
276,1114470,nitroglycerin
277,880853,psyllium
278,1543069,lidocaine
279,1801295,potassium chloride
280,1049584,oxycodone
281,860096,ketorolac
282,854235,enoxaparin
283,197444,carbidopa
284,312845,ropinirole
285,861204,brimonidine
286,284008,travoprost
287,313518,trolamine salicylate
288,312846,ropinirole
289,1795252,glucose
290,1191228,naloxone
291,1807550,sodium chloride
292,615098,NF
293,199739,famotidine
294,310325,ferrous sulfate
295,200371,citalopram
296,200031,carvedilol
297,313009,sodium chloride
298,199168,phenobarbital
299,1234256,labetalol
300,834022,ketorolac
301,1359861,NF
302,1360201,NF
303,282465,calcium carbonate
304,309263,cholecalciferol
305,795690,NF
306,1666798,midazolam
307,1807627,sodium chloride
308,1665050,cefazolin
309,238212,glycopyrronium
310,1234995,rocuronium
311,1116294,ephedrine
312,1808217,propofol
313,1012068,lidocaine
314,311936,neostigmine
315,1729584,remifentanil
316,311700,midazolam
317,483017,acetaminophen
318,1594589,succinylcholine
319,1244233,methohexital
320,1250201,NF
321,1859553,ranitidine
322,311670,metoclopramide
323,1234584,phenylephrine
324,1232651,phenylephrine
325,801092,albuterol
326,1242903,NF
327,1654006,etomidate
328,1736546,esmolol
329,859437,vecuronium
330,1099870,valproate
331,89905,NF
332,312829,risperidone
333,314006,glipizide
334,310430,gabapentin
335,885213,benztropine
336,310289,fenofibrate
337,197805,ibuprofen
338,966222,levothyroxine
339,856457,propranolol
340,904431,alendronate
341,199885,levofloxacin
342,830872,diltiazem
343,311040,"insulin aspart, human"
344,1099678,valproate
345,314034,haloperidol
346,1049909,diphenhydramine
347,861007,metformin
348,835603,tramadol
349,312743,quetiapine
350,250387,permethrin
351,616487,quetiapine
352,6585,magnesium sulfate
353,314216,simethicone
354,1359363,bacitracin
355,106387,permethrin
356,892246,levothyroxine
357,885219,benztropine
358,235743,metformin
359,477560,fenofibrate
360,312745,quetiapine
361,313002,sodium chloride
362,1361615,heparin
363,310273,famotidine
364,5956,iohexol
365,203211,diltiazem
366,200251,potassium phosphate
367,1795621,glucose
368,310490,glipizide
369,266856,valproate
370,856377,trazodone
371,1897,calcium carbonate
372,198051,omeprazole
373,831054,diltiazem
374,1044268,methyl salicylate
375,1665088,cefepime
376,239209,vancomycin
377,801112,potassium chloride
378,1719646,haloperidol
379,198443,acetaminophen
380,216554,glucose
381,238100,lorazepam
382,310672,haloperidol
383,854977,Streptococcus pneumoniae type 1 capsular polysaccharide antigen
384,1665497,levofloxacin
385,1248119,docusate
386,1665507,levofloxacin
387,199884,levofloxacin
388,312830,risperidone
389,200329,omeprazole
390,866508,metoprolol
391,1665212,ciprofloxacin
392,2177498,influenza B virus antigen
393,617312,atorvastatin
394,198741,magnesium oxide
395,18927,benztropine
396,1099563,valproate
397,898694,calcium citrate
398,997223,donepezil
399,199903,hydrochlorothiazide
400,199362,cholecalciferol
401,966221,levothyroxine
402,429503,hydrochlorothiazide
403,577208,omega-3 acid ethyl esters (USP)
404,11256,vitamin E
405,314076,lisinopril
406,285245,cinnamon preparation
407,312961,simvastatin
408,282402,ascorbic acid
409,313638,vitamin A
410,11416,zinc
411,265647,garlic preparation
412,21406,ubidecarenone
413,7258,naproxen
414,310431,gabapentin
415,104208,digoxin
416,1361048,heparin
417,854248,enoxaparin
418,310433,gabapentin
419,1653202,"insulin aspart, human"
420,203128,midazolam
421,1923426,sotalol
422,142436,fentanyl
423,34322,potassium phosphate
424,866514,metoprolol
425,860975,metformin
426,991086,dicyclomine
427,996571,memantine
428,349332,escitalopram
429,54993,potassium citrate
430,4419,fish oils
431,1151,ascorbic acid
432,311354,lisinopril
433,6404,linseed oil
434,1895,calcium
435,1191,aspirin
436,860707,galantamine
437,860715,galantamine
438,855332,warfarin
439,313585,venlafaxine
440,200033,carvedilol
441,200345,simvastatin
442,993541,bupropion
443,1427073,glucose oxidase
444,25480,gabapentin
445,1923422,sotalol
446,692578,esomeprazole
447,996615,memantine
